,Unnamed: 0,Time,Open,High,Low,Close,Volume,status
6776,6776,2021-09-13 04:00:00,44681.0,44934.5,44136.3,44576.0,8,-1.0
6777,6777,2021-09-13 08:00:00,44346.4,44947.1,44161.9,44380.3,8,1.0
6778,6778,2021-09-13 12:00:00,44576.1,46799.8,43394.9,45122.4,8,1.0
6779,6779,2021-09-13 16:00:00,44379.1,45184.8,44263.9,45122.4,8,1.0
6780,6780,2021-09-13 20:00:00,45123.0,45438.6,44630.6,45034.2,8,-1.0
6781,6781,2021-09-14 00:00:00,45122.4,45300.2,44937.0,45910.9,8,1.0
6782,6782,2021-09-14 04:00:00,45034.2,45984.9,45002.0,46478.3,8,1.0
6783,6783,2021-09-14 08:00:00,45911.3,46538.5,45691.6,46547.7,8,1.0
6784,6784,2021-09-14 12:00:00,46480.1,46890.4,46095.4,46758.3,8,1.0
6785,6785,2021-09-14 16:00:00,46544.2,46907.8,46281.7,47100.1,8,1.0
6786,6786,2021-09-14 20:00:00,46750.9,47302.9,46344.4,46817.1,8,1.0
6787,6787,2021-09-15 00:00:00,47105.3,47390.6,46786.5,46999.5,8,-1.0
6788,6788,2021-09-15 04:00:00,46816.9,47260.8,46654.1,47347.6,8,1.0
6789,6789,2021-09-15 08:00:00,47000.0,47636.8,46991.5,48010.9,8,1.0
6790,6790,2021-09-15 12:00:00,47348.4,48382.3,47297.9,47868.9,8,1.0
6791,6791,2021-09-15 16:00:00,48011.0,48209.1,47808.0,47848.8,8,-1.0
6792,6792,2021-09-15 20:00:00,47887.5,48393.8,47805.6,48242.7,8,1.0
6793,6793,2021-09-16 00:00:00,47848.8,48428.5,47298.9,48034.9,8,1.0
6794,6794,2021-09-16 04:00:00,48242.7,48433.7,48002.7,47990.8,8,-1.0
6795,6795,2021-09-16 08:00:00,48034.9,48217.0,47587.3,47905.4,8,-1.0
6796,6796,2021-09-16 12:00:00,47990.8,48166.0,47171.1,47074.8,8,-1.0
6797,6797,2021-09-16 16:00:00,47905.1,47978.3,46973.0,47464.5,8,-1.0
6798,6798,2021-09-16 20:00:00,47115.9,47870.9,47103.8,48040.6,8,1.0
6799,6799,2021-09-17 00:00:00,47457.8,48077.1,47410.5,47867.9,8,1.0
6800,6800,2021-09-17 04:00:00,48040.1,48104.1,47599.3,47405.9,8,-1.0
6801,6801,2021-09-17 08:00:00,47867.9,47930.5,47184.9,47588.8,8,-1.0
6802,6802,2021-09-17 12:00:00,47408.3,47683.7,47103.2,46937.9,8,-1.0
6803,6803,2021-09-17 16:00:00,47589.0,47624.5,46706.5,47226.5,8,-1.0
6804,6804,2021-09-17 20:00:00,46935.6,47227.0,46752.0,46930.3,2,-1.0
6805,6805,2021-09-19 20:00:00,47544.8,47614.6,46742.8,45599.3,8,-1.0
6806,6806,2021-09-20 00:00:00,46929.9,47227.8,45122.3,44988.0,8,-1.0
6807,6807,2021-09-20 04:00:00,45599.7,45769.4,44436.2,43458.3,8,-1.0
6808,6808,2021-09-20 08:00:00,44986.8,45217.7,42500.0,43790.8,8,-1.0
6809,6809,2021-09-20 12:00:00,43461.0,44073.5,43086.9,43475.2,8,1.0
6810,6810,2021-09-20 16:00:00,43790.9,44187.2,42844.1,41599.7,8,-1.0
6811,6811,2021-09-20 20:00:00,43476.2,43864.2,40159.4,42365.6,8,-1.0
6812,6812,2021-09-21 00:00:00,41599.7,43024.2,41506.6,43210.8,8,1.0
6813,6813,2021-09-21 04:00:00,42365.6,43409.5,42111.4,43068.7,8,1.0
6814,6814,2021-09-21 08:00:00,43210.7,43573.0,43019.3,42381.0,8,-1.0
6815,6815,2021-09-21 12:00:00,43068.7,43257.8,42131.5,40867.9,8,-1.0
6816,6816,2021-09-21 16:00:00,42381.5,42728.2,40709.9,40955.9,8,-1.0
6817,6817,2021-09-21 20:00:00,40901.5,41874.7,39559.4,41836.2,8,1.0
6818,6818,2021-09-22 00:00:00,40958.3,42351.5,40757.6,42231.2,8,1.0
6819,6819,2021-09-22 04:00:00,41836.8,42678.9,41799.1,42130.3,8,1.0
6820,6820,2021-09-22 08:00:00,42231.9,42443.0,41804.7,43290.0,8,1.0
6821,6821,2021-09-22 12:00:00,42130.4,43397.4,42026.4,43382.4,8,1.0
6822,6822,2021-09-22 16:00:00,43290.0,43953.2,42860.2,43148.3,8,-1.0
6823,6823,2021-09-22 20:00:00,43353.5,43774.2,42982.3,43991.9,8,1.0
6824,6824,2021-09-23 00:00:00,43148.3,44239.4,43034.8,43819.9,8,1.0
6825,6825,2021-09-23 04:00:00,43990.3,44323.4,43666.8,43462.8,8,-1.0
6826,6826,2021-09-23 08:00:00,43820.0,44158.8,43341.8,43751.8,8,-1.0
6827,6827,2021-09-23 12:00:00,43462.0,44190.9,43389.0,44636.4,8,1.0
6828,6828,2021-09-23 16:00:00,43746.1,44875.0,43746.1,44612.5,8,1.0
6829,6829,2021-09-23 20:00:00,44641.3,44934.1,44343.7,44216.5,8,-1.0
6830,6830,2021-09-24 00:00:00,44612.5,44737.9,43996.9,44461.5,8,-1.0
6831,6831,2021-09-24 04:00:00,44216.4,45088.9,43867.0,41140.4,8,-1.0
6832,6832,2021-09-24 08:00:00,44463.0,44474.3,40705.5,42166.5,8,-1.0
6833,6833,2021-09-24 12:00:00,41141.4,42650.2,40864.6,42935.2,8,1.0
6834,6834,2021-09-24 16:00:00,42166.7,42956.5,41737.4,42903.6,8,1.0
6835,6835,2021-09-24 20:00:00,42931.8,43168.0,42844.8,43840.0,2,1.0
6836,6836,2021-09-26 20:00:00,43599.7,43905.8,42667.8,43982.1,8,1.0
6837,6837,2021-09-27 00:00:00,43840.1,44300.8,43696.8,43807.0,8,-1.0
6838,6838,2021-09-27 04:00:00,43982.6,44197.7,43640.3,43514.2,8,-1.0
6839,6839,2021-09-27 08:00:00,43806.8,44059.7,43240.4,43012.1,8,-1.0
6840,6840,2021-09-27 12:00:00,43514.2,44004.2,42818.1,42631.7,8,-1.0
6841,6841,2021-09-27 16:00:00,43012.8,43173.3,42560.9,42281.3,8,-1.0
6842,6842,2021-09-27 20:00:00,42632.2,43344.9,42000.0,42590.7,8,-1.0
6843,6843,2021-09-28 00:00:00,42281.4,42709.1,42056.8,41785.9,8,-1.0
6844,6844,2021-09-28 04:00:00,42590.7,42662.1,41500.0,41772.4,8,-1.0
6845,6845,2021-09-28 08:00:00,41785.6,42098.9,41595.6,41200.7,8,-1.0
6846,6846,2021-09-28 12:00:00,41771.6,42510.3,41094.7,41719.5,8,-1.0
