,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Time,Open,High,Low,Close,Volume
218,218,3355,3355,2019-07-16 00:00:00,10861,10979,10586,10715,200
219,219,352,352,2017-08-15 04:00:00,4369,4407,4208,4231,410
220,220,2938,2938,2019-04-09 12:00:00,5132,5186,5130,5172,19
221,221,3914,3914,2019-11-22 04:00:00,7548,7653,7357,7452,106
222,222,7395,7395,2022-01-31 08:00:00,37185,37358,36898,37038,8
223,223,1725,1725,2018-07-02 16:00:00,6550,6610,6546,6564,214
224,224,7478,7478,2022-02-17 20:00:00,40859,40920,40039,40554,8
225,225,2992,2992,2019-04-22 12:00:00,5250,5337,5227,5246,15
226,226,158,158,2017-06-28 20:00:00,2592,2602,2535,2549,395
227,227,2409,2409,2018-12-07 00:00:00,3263,3327,3239,3289,8
228,228,6714,6714,2021-08-30 04:00:00,47852,48177,47623,48061,8
229,229,6404,6404,2021-06-21 00:00:00,35532,35587,33653,34206,8
230,230,7974,7974,2022-06-10 04:00:00,30026,30155,29924,29954,8
231,231,2266,2266,2018-11-05 20:00:00,6338,6348,6330,6348,8
232,232,2064,2064,2018-09-19 04:00:00,6275,6299,6265,6284,8
233,233,7872,7872,2022-05-18 16:00:00,29138,29443,28800,29158,8
234,234,3012,3012,2019-04-25 20:00:00,5437,5442,4931,5057,72
235,235,1939,1939,2018-08-21 08:00:00,6410,6416,6348,6373,8
236,236,4426,4426,2020-03-24 04:00:00,6394,6807,6368,6690,184
237,237,4755,4755,2020-06-09 00:00:00,9656,9664,9612,9623,85
238,238,6042,6042,2021-03-30 16:00:00,58672,59082,58405,58620,8
239,239,7375,7375,2022-01-26 04:00:00,37757,37924,37181,37565,8
240,240,3631,3631,2019-09-18 00:00:00,10158,10201,10150,10168,37
241,241,7492,7492,2022-02-22 00:00:00,37283,37424,36318,36583,8
242,242,775,775,2017-11-24 00:00:00,7988,8121,7872,8070,288
243,243,7328,7328,2022-01-14 16:00:00,43214,43354,42746,43066,8
244,244,6311,6311,2021-05-31 00:00:00,35315,35412,34154,34457,8
245,245,1625,1625,2018-06-08 00:00:00,7626,7628,7548,7565,209
246,246,5858,5858,2021-02-17 00:00:00,49020,50173,48921,49338,8
247,247,5290,5290,2020-10-09 12:00:00,11054,11095,11031,11040,8
248,248,454,454,2017-09-11 16:00:00,4261,4280,4175,4192,604
249,249,7747,7747,2022-04-20 12:00:00,42071,42080,40995,41343,8
250,250,413,413,2017-08-31 00:00:00,4599,4635,4597,4630,313
